event_id,date,start_time,end_time,title,location,attendees,category,recurring,notes
evt_da29f914,2026-02-13,10:00,10:30,30-min Sync: Jordan Kim & Alex Chen,Remote,Jordan Kim;Alex Chen,work,none,
evt_38ba05b2,2026-02-12,10:30,11:00,Alex ↔ Jordan Sync,Remote,Jordan Kim;Alex Chen,work,none,
evt_b61025ff,2026-02-12,14:15,14:45,30-min Sync w/ Jordan Kim,Remote,Jordan Kim,work,none,
evt_b4a20945,2026-02-12,10:00,10:30,Alex ↔ Jordan sync,Zoom,Jordan Kim;Alex Chen,work,none,
evt_6afcab9b,2026-02-12,11:00,11:30,Jordan <> Alex sync,Remote,Jordan Kim;Alex Chen,work,none,
evt_3b31346a,2026-02-12,11:30,12:00,Jordan <> Alex sync,Remote,Jordan Kim;Alex Chen,work,none,
evt_fbb30287,2026-02-13,10:30,11:00,Jordan ↔ Alex sync,Remote,Jordan Kim;Alex Chen,work,none,
evt_99a1a415,2026-02-13,09:30,10:00,30-min sync: Jordan Kim + Alex Chen,Remote,Jordan Kim,work,none,
evt_07349fbc,2026-02-13,11:00,11:30,Alex ↔ Jordan: Urgent Sync,Video / TBD,Jordan Kim,work,none,
evt_3c3db4d5,2026-02-11,10:30,11:00,Alex ↔ Jordan sync,Zoom,Alex Chen; Jordan Kim,work,none,
evt_f1a15a03,2026-02-11,11:00,11:30,Alex ↔ Jordan sync,Zoom,Alex Chen; Jordan Kim,work,none,
evt_c7248294,2026-02-16,10:00,10:30,Alex ↔ Jordan sync,Remote,Jordan Kim,work,none,
evt_7aa82579,2026-02-16,10:30,11:00,Alex ↔ Jordan 1:1 Sync,Video call,Jordan Kim,work,none,
evt_04fff872,2026-02-16,11:00,11:30,Alex ↔ Jordan 30-min sync,Remote,Alex Chen; Jordan Kim,work,none,
evt_f758f8ac,2026-02-13,11:30,12:00,Alex ↔ Jordan sync,Zoom,Jordan Kim,work,none,
evt_7b70d266,2026-02-13,12:00,12:30,Alex ↔ Jordan sync,Zoom,Jordan Kim,work,none,
evt_da745010,2026-02-15,14:00,15:00,Q3 Roadmap Discussion (Alex/Jordan/Sam),Remote,Jordan Kim; Sam Rivera,work,none,
evt_8c11ef0b,2026-02-17,09:30,10:00,Alex & Jordan Sync,Zoom,Alex Chen; Jordan Kim,work,none,
evt_7f44fa5e,2026-02-17,10:00,10:30,Alex <> Jordan Sync,Video call,Jordan Kim,work,none,
evt_0ea8e249,2026-02-17,10:30,11:00,Jordan & Alex sync,Zoom,Jordan Kim; Alex Chen,work,none,
evt_3931cb5e,2026-02-18,09:30,10:00,Alex ↔ Jordan sync,Remote,Jordan Kim,work,none,
evt_f9968eae,2026-02-18,10:00,10:30,Alex ↔ Jordan sync,Remote,Jordan Kim,work,none,
evt_e78a71d2,2026-02-19,10:30,11:00,30-min sync (Jordan ↔ Alex),Remote,Jordan Kim;Alex Chen,work,none,
evt_eb271c60,2026-02-19,11:00,11:30,30-min sync (Jordan ↔ Alex),Remote,Jordan Kim;Alex Chen,work,none,
evt_269e6bbf,2026-02-18,10:30,11:00,Alex ↔ Jordan Sync,Video call,Alex Chen;Jordan Kim,work,none,
evt_026ee4ef,2026-02-19,09:30,10:00,Alex ↔ Jordan Sync,Remote,Jordan Kim,work,none,
evt_1501a755,2026-02-19,10:00,10:30,Alex ↔ Jordan Sync,Remote,Jordan Kim,work,none,
evt_9b895e1e,2026-02-18,09:00,09:30,Alex ↔ Jordan Sync,SF Office,Alex Chen; Jordan Kim,work,none,
evt_7a683545,2026-02-17,11:00,11:30,Alex ↔ Jordan Sync,Remote,Alex Chen; Jordan Kim,work,none,
evt_3678e403,2026-02-17,11:30,12:00,Alex ↔ Jordan Sync,Remote,Alex Chen; Jordan Kim,work,none,
evt_c406ae7f,2026-02-17,09:00,09:30,30-min sync: Alex Chen + Jordan Kim,Remote,Jordan Kim,work,none,
evt_cdd10f01,2026-02-17,12:00,12:30,30-min sync: Alex Chen + Jordan Kim,Remote,Jordan Kim,work,none,
evt_61f34f64,2026-02-16,11:30,12:00,30-min Sync: Jordan Kim × Alex Chen,Remote,Alex Chen; Jordan Kim,work,none,
evt_88e9a99c,2026-02-18,14:00,14:30,Alex ↔ Jordan Sync,Video / SF Office,Jordan Kim,work,none,
evt_952ae0d1,2026-02-18,11:00,11:30,Alex ↔ Jordan Sync,SF Office / Zoom,Alex Chen;Jordan Kim,work,none,
evt_d1ec00a3,2026-02-18,11:30,12:00,Alex ↔ Jordan Sync (Rescheduled),SF Office / Zoom,Alex Chen;Jordan Kim,work,none,
evt_9f18f486,2026-02-17,14:00,14:30,Sync: Alex Chen + Jordan Kim,Zoom,Jordan Kim;Alex Chen,work,none,
evt_80d95dd4,2026-02-19,11:30,12:00,Alex × Jordan sync,Zoom,Jordan Kim,work,none,
evt_5fa0979b,2026-02-19,12:00,12:30,Alex × Jordan sync,Zoom,Jordan Kim,work,none,
evt_8f27a08b,2026-02-20,10:30,11:00,Sync: Alex × Jordan,SF Office,Alex Chen; Jordan Kim,work,none,
evt_5b6c8aa4,2026-02-19,14:30,15:00,Sync: Alex Chen × Jordan Kim,Remote,Alex Chen; Jordan Kim,work,none,
evt_518c0acc,2026-02-19,15:00,15:30,Sync: Alex Chen × Jordan Kim,Remote,Alex Chen; Jordan Kim,work,none,
evt_a944dc87,2026-02-19,12:30,13:00,Sync: Alex Chen × Jordan Kim,Remote,Alex Chen; Jordan Kim,work,none,
evt_22f19712,2026-02-17,15:30,16:00,Jordan ↔ Alex sync (Q3 roadmap),Remote,Alex Chen; Jordan Kim,work,none,
evt_66022736,2026-02-17,14:30,15:00,Jordan ↔ Alex sync (Q3 roadmap),Remote,Alex Chen; Jordan Kim,work,none,
evt_99b8f8a8,2026-02-17,15:00,15:30,Jordan ↔ Alex sync (Q3 roadmap),Remote,Alex Chen; Jordan Kim,work,none,
evt_21701651,2026-02-17,12:30,13:00,Jordan ↔ Alex sync (Q3 roadmap),Remote,Alex Chen; Jordan Kim,work,none,
evt_a5c4c7b6,2026-02-17,13:00,14:00,Q3 Roadmap Discussion,SF Office,Jordan Kim; Sam Rivera,work,none,
